NAME,DATE,TMAX,TMIN,MONTH
"PLYMOUTH MOUNTBATTEN, UK",2023-01-18,47.0,29.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-19,49.0,34.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-20,45.0,30.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-21,46.0,32.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-22,49.0,34.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-23,45.0,37.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-24,48.0,29.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-25,46.0,28.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-26,43.0,34.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-27,45.0,35.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-28,50.0,34.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-29,50.0,36.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-30,52.0,42.0,1
"PLYMOUTH MOUNTBATTEN, UK",2023-01-31,50.0,41.0,1
"STORNOWAY AIRPORT, UK",2023-01-01,47.0,32.0,1
"STORNOWAY AIRPORT, UK",2023-01-02,46.0,30.0,1
"STORNOWAY AIRPORT, UK",2023-01-03,44.0,34.0,1
"STORNOWAY AIRPORT, UK",2023-01-04,50.0,35.0,1
"STORNOWAY AIRPORT, UK",2023-01-05,47.0,34.0,1
"STORNOWAY AIRPORT, UK",2023-01-06,47.0,35.0,1
"STORNOWAY AIRPORT, UK",2023-01-07,45.0,38.0,1
"STORNOWAY AIRPORT, UK",2023-01-08,45.0,36.0,1
"STORNOWAY AIRPORT, UK",2023-01-09,49.0,38.0,1
"STORNOWAY AIRPORT, UK",2023-01-10,45.0,39.0,1
"STORNOWAY AIRPORT, UK",2023-01-11,45.0,40.0,1
"STORNOWAY AIRPORT, UK",2023-01-12,44.0,33.0,1
"STORNOWAY AIRPORT, UK",2023-01-13,44.0,35.0,1
"STORNOWAY AIRPORT, UK",2023-01-14,37.0,32.0,1
"STORNOWAY AIRPORT, UK",2023-01-15,36.0,36.0,1
"STORNOWAY AIRPORT, UK",2023-01-16,40.0,27.0,1
